,finish,club_name,age,sex,year,og_name,squad,tie,club_short,club_id,club_zone,loc,state
0,1,LAGUNA BEACH WATER POLO,10,Girls,2016,LAGUNA BEACH WATER POLO,A,0.0,LAGUNA BEACH,717,Southern Pacific Zone,"625 Park Ave, Laguna Beach, CA 92651",CA
1,1,VANGUARD AQUATICS,12,Boys,2016,VANGUARD AQUATICS,A,0.0,VANGUARD,17185,Southern Pacific Zone,"2301 W Mac, Santa Ana, CA 92704",CA
2,1,LOS ANGELES PREMIER,14,Boys,2016,LOS ANGELES PREMIER,A,0.0,LOS ANGELES PREMIER,22230,Coastal California Zone,"3700 Coldwater Cayon, Studio City, CA 91604",CA
3,1,STANFORD WATER POLO FOUNDATION,16,Boys,2016,STANFORD WATER POLO FOUNDATION,A,0.0,STANFORD,570,Pacific Zone,"Avery Aquatic Center, Stanford, CA 94305",CA
4,1,REGENCY WATER POLO CLUB,18,Boys,2016,REGENCY WATER POLO CLUB,A,0.0,REGENCY,0,Southern Pacific Zone,"1202 W Edinger Ave, Santa Ana, CA 92707",CA
5,2,SANTA BARBARA PREMIER,10,Girls,2016,SANTA BARBARA PREMIER,A,0.0,SANTA BARBARA PREMIER,26252,Coastal California Zone,"552 University Rd, Santa Barbara, CA 93106",CA
6,2,CC UNITED,12,Boys,2016,CC UNITED,A,0.0,CC UNITED,19137,Pacific Zone,"300 Moraga Road, Moraga, CA 94556",CA
7,2,SOCAL WATER POLO FOUNDATION,14,Boys,2016,SOCAL WATER POLO FOUNDATION,A,0.0,SOCAL,51,Southern Pacific Zone,"1925 Dodge Ave, Santa Ana, CA 92705",CA
8,2,SLEEPY HOLLOW AQUATICS,16,Boys,2016,SLEEPY HOLLOW AQUATICS,A,0.0,SLEEPY HOLLOW,18329,Pacific Zone,"1327 Sir Francis Drake Blvd, San Anselmo, CA 94960",CA
9,2,680 WATER POLO,18,Boys,2016,680 WATER POLO,A,0.0,680,37,Pacific Zone,"1460 S Main St, Walnut Creek, CA 94596",CA
10,3,SANTA BARBARA 805,10,Girls,2016,SANTA BARBARA 805,A,0.0,SANTA BARBARA 805,26251,Coastal California Zone,"7266 Alameda Ave, Goleta, CA 93117",CA
11,3,SHORE AQUATICS,12,Boys,2016,SHORE AQUATICS,A,0.0,SHORE,892,Coastal California Zone,"1250 Bellflower Blvd, Long Beach, CA 90840",CA
12,3,VANGUARD AQUATICS,14,Boys,2016,VANGUARD AQUATICS,A,0.0,VANGUARD,17185,Southern Pacific Zone,"2301 W Mac, Santa Ana, CA 92704",CA
13,3,PRIDE WATER POLO ACADEMY,16,Boys,2016,PRIDE WATER POLO ACADEMY,A,0.0,PRIDE,25981,Coastal California Zone,"31749 La Tienda Road, Westlake Village, CA 91362",CA
14,3,LOS ANGELES PREMIER,18,Boys,2016,LOS ANGELES PREMIER,A,0.0,LOS ANGELES PREMIER,22230,Coastal California Zone,"3700 Coldwater Cayon, Studio City, CA 91604",CA
