,Finish,Team,Age,Sex,Year,og_name,Squad,Club,Tie
0,1,LAGUNA BEACH WATER POLO,10,Girls,2016,LAGUNA BEACH WATER POLO,A,LAGUNA BEACH,0.0
1,1,VANGUARD AQUATIC,12,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
2,1,LO ANGELE PREMIER,14,Boys,2016,LOS ANGELES PREMIER,A,LO ANGELE PREMIER,0.0
3,1,STANFORD WATER POLO FOUNDATION,16,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
4,1,REGENCY WATER POLO CLUB,18,Boys,2016,REGENCY WATER POLO CLUB,A,REGENCY,0.0
5,2,SANTA BARBARA PREMIER,10,Girls,2016,SANTA BARBARA PREMIER,A,SANTA BARBARA PREMIER,0.0
6,2,CC UNITED,12,Boys,2016,CC UNITED,A,CC UNITED,0.0
7,2,SOCAL WATER POLO FOUNDATION,14,Boys,2016,SOCAL WATER POLO FOUNDATION,A,SOCAL,0.0
8,2,SLEEPY HOLLOW AQUATIC,16,Boys,2016,SLEEPY HOLLOW AQUATICS,A,SLEEPY HOLLOW,0.0
9,2,680 WATER POLO,18,Boys,2016,680 WATER POLO,A,680,0.0
10,3,SANTA BARBARA 805,10,Girls,2016,SANTA BARBARA 805,A,SANTA BARBARA 805,0.0
11,3,SHORE AQUATIC,12,Boys,2016,SHORE AQUATICS,A,SHORE,0.0
12,3,VANGUARD AQUATIC,14,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
13,3,PRIDE WATER POLO ACADEMY,16,Boys,2016,PRIDE WATER POLO ACADEMY,A,PRIDE,0.0
14,3,LO ANGELE PREMIER,18,Boys,2016,LOS ANGELES PREMIER,A,LO ANGELE PREMIER,0.0
15,4,STANFORD WATER POLO FOUNDATION,10,Girls,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
16,4,NORTH IRVINE WATER POLO CLUB,12,Boys,2016,NORTH IRVINE WATER POLO CLUB,A,NORTH IRVINE,0.0
17,4,STANFORD WATER POLO FOUNDATION,14,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
